N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
38,고려아연,"570,000","18,000",+3.26%,"5,000","107,559","18,870",18.58,"59,508",14.25,8.37,
39,S-Oil,"90,000",700,+0.78%,"2,500","101,325","112,583",77.93,"613,580",8.66,-13.07,
40,현대중공업,"114,000","1,000",+0.88%,"5,000","101,201","88,773",2.42,"216,004",-12.44,-7.86,
41,우리금융지주,"13,850",300,-2.12%,"5,000","100,836","728,061",34.05,"2,686,196",4.24,5.87,
42,대한항공,"28,550",250,-0.87%,"5,000","99,303","347,821",12.45,"1,241,635",13.41,-7.22,
43,엔씨소프트,"437,000","22,500",-4.90%,500,"95,939","21,954",43.41,"233,833",26.98,20.83,
44,삼성화재,"189,000",500,-0.26%,500,"89,538","47,375",48.76,"70,756",8.17,4.96,
45,포스코케미칼,"115,000","2,500",-2.13%,500,"89,083","77,463",6.40,"102,470",64.21,2.96,
46,넷마블,"102,000","2,500",-2.39%,100,"87,673","85,954",22.92,"166,088",37.72,6.35,
47,SK아이이테크놀로지,"121,500","4,000",-3.19%,"1,000","86,627","71,298",10.64,"212,436",79.88,11.00,
48,KT,"32,500",650,+2.04%,"5,000","84,861","261,112",39.78,"1,069,745",8.30,4.76,
49,LG이노텍,"337,500","7,500",-2.17%,"5,000","79,876","23,667",22.88,"399,174",8.99,30.94,
50,기업은행,"10,600",100,-0.93%,"5,000","78,896","744,301",14.03,"690,727",3.92,6.44,
51,SK스퀘어,"53,100","2,000",-3.63%,100,"75,119","141,468",39.12,"1,033,050",N/A,N/A,
52,롯데케미칼,"202,000","5,000",-2.42%,"5,000","69,236","34,275",24.70,"178,680",5.08,1.22,
53,한화솔루션,"35,650",0,0.00%,"5,000","68,191","191,278",18.49,"596,184",9.11,5.30,
54,SK바이오팜,"85,400","1,200",-1.39%,500,"66,880","78,313",5.85,"91,812",-165.50,-135.18,
55,현대글로비스,"178,000",500,+0.28%,500,"66,750","37,500",43.15,"87,308",9.60,12.45,
56,LG디스플레이,"18,650",400,-2.10%,"5,000","66,733","357,816",17.32,"1,827,858",4.23,-0.79,
57,한국조선해양,"93,500","2,000",+2.19%,"5,000","66,173","70,773",19.92,"306,690",-5.13,-7.42,
58,F&F,"852,000","12,000",-1.39%,500,"65,275","7,661",14.55,"12,667",N/A,N/A,
59,한온시스템,"11,600",300,-2.52%,100,"61,921","533,800",17.56,"558,766",21.17,5.09,
60,LG유플러스,"13,350",150,+1.14%,"5,000","58,288","436,611",36.00,"830,122",14.85,6.46,
61,에스디바이오센서,"56,100",900,+1.63%,500,"57,935","103,271",10.85,"991,661",8.50,139.97,
62,강원랜드,"26,950",200,+0.75%,500,"57,657","213,940",18.23,"652,329",-175.00,-7.92,
63,CJ제일제당,"374,500","3,500",+0.94%,"5,000","56,378","15,054",22.52,"21,905",12.77,13.50,
64,맥쿼리인프라,"13,700",50,-0.36%,0,"55,464","404,846",14.08,"890,161",N/A,N/A,
65,현대제철,"41,400",100,+0.24%,"5,000","55,247","133,446",21.21,"458,011",6.34,-2.59,
66,미래에셋증권,"8,790",130,-1.46%,"5,000","54,086","615,316",13.69,"562,362",6.01,8.94,
67,KODEX 200,"36,575",575,-1.55%,0,"53,198","145,450",11.14,"4,071,714",N/A,N/A,
68,삼성중공업,"6,020",30,+0.50%,"1,000","52,976","880,000",14.60,"4,488,396",-2.45,-33.06,
69,SKC,"137,000","3,500",-2.49%,"5,000","51,880","37,868",16.51,"103,129",27.91,2.21,
70,코웨이,"69,900","1,200",-1.69%,500,"51,586","73,800",60.95,"87,518",11.57,31.51,
71,현대건설,"45,500",50,+0.11%,"5,000","50,667","111,356",23.26,"786,742",30.25,1.84,
72,삼성엔지니어링,"25,500","1,300",+5.37%,"5,000","49,980","196,000",36.96,"3,738,353",14.11,17.32,
73,금호석유,"156,500","4,000",-2.49%,"5,000","47,413","30,296",20.29,"78,761",2.80,20.18,
74,메리츠금융지주,"34,000","1,050",-3.00%,500,"45,564","134,011",8.40,"367,028",6.40,16.06,
75,메리츠화재,"37,250",950,-2.49%,500,"44,933","120,625",11.91,"359,105",7.73,16.91,
76,한국금융지주,"79,400",600,-0.75%,"5,000","44,246","55,726",35.02,"64,719",2.72,16.27,
77,유한양행,"58,500",200,+0.34%,"1,000","42,840","73,231",17.55,"114,702",44.35,11.06,
78,한국타이어앤테크놀로지,"34,550",50,+0.14%,500,"42,799","123,875",41.04,"155,860",6.48,5.12,
79,현대중공업지주,"53,700",800,+1.51%,"1,000","42,419","78,993",16.66,"147,423",-12.45,-8.12,
80,한국가스공사,"45,800","3,250",+7.64%,"5,000","42,279","92,313",10.21,"1,699,122",9.51,-2.24,
81,일진머티리얼즈,"90,400","2,200",-2.38%,500,"41,684","46,111",13.17,"187,397",65.60,7.23,
82,DB손해보험,"58,600",300,-0.51%,500,"41,489","70,800",42.95,"176,802",5.20,9.08,
83,메리츠증권,"6,020",130,-2.11%,"1,000","41,040","681,731",12.85,"794,175",6.11,13.08,
84,아모레G,"48,000","1,000",-2.04%,500,"39,580","82,458",15.88,"82,292",26.95,0.31,
85,쌍용C&E,"7,810",40,+0.51%,100,"39,351","503,860",3.15,"420,827",19.10,7.92,
86,GS,"42,100",400,+0.96%,"5,000","39,117","92,915",19.35,"187,886",3.82,-2.82,
87,두산밥캣,"38,450",100,+0.26%,500,"38,546","100,249",25.34,"89,543",10.52,6.15,
88,GS건설,"44,600",200,+0.45%,"5,000","38,169","85,581",26.26,"450,223",10.86,7.68,
89,팬오션,"7,120",130,+1.86%,"1,000","38,061","534,570",12.74,"15,260,295",12.23,3.25,
90,삼성증권,"42,300",500,-1.17%,"5,000","37,774","89,300",30.23,"212,640",3.98,9.89,
91,이마트,"135,500","1,500",-1.09%,"5,000","37,772","27,876",32.78,"167,955",2.73,4.05,
92,한국항공우주,"38,550",900,+2.39%,"5,000","37,577","97,475",14.10,"2,103,711",262.24,6.39,
93,삼성카드,"32,250",450,-1.38%,"5,000","37,364","115,859",7.32,"46,957",7.96,5.69,
94,오리온,"90,100","2,300",-2.49%,500,"35,622","39,536",37.08,"253,442",14.98,15.50,
95,한전기술,"92,400",200,-0.22%,200,"35,315","38,220",2.23,"998,444",347.37,N/A,
96,한진칼,"52,700",100,+0.19%,"2,500","35,183","66,761",14.69,"43,546",-60.02,-19.55,
97,NH투자증권,"11,750",150,-1.26%,"5,000","34,901","297,034",18.00,"308,562",4.31,10.32,
98,현대미포조선,"81,600","1,700",+2.13%,"5,000","32,593","39,942",10.80,"257,918",-21.20,-0.84,
99,한미약품,"264,000","2,000",-0.75%,"2,500","32,519","12,318",13.48,"8,164",42.05,1.65,
100,현대차2우B,"88,200","1,200",-1.34%,"5,000","32,180","36,485",62.70,"46,862",4.47,N/A,
101,TIGER 차이나전기차SOLACTIVE,"15,110",425,-2.74%,0,"31,973","211,600",0.25,"3,879,908",N/A,N/A,
102,호텔신라,"81,300",600,+0.74%,"5,000","31,909","39,248",14.69,"241,258",-31.21,-36.74,
103,현대오토에버,"115,000","1,000",+0.88%,500,"31,538","27,424",2.05,"82,105",41.74,11.09,
104,한화시스템,"16,450",500,+3.13%,"5,000","31,077","188,919",2.37,"1,337,415",19.94,9.35,
105,롯데지주,"29,600",0,0.00%,200,"31,053","104,909",7.81,"69,438",15.42,-3.03,
106,DB하이텍,"69,700","1,000",-1.41%,"5,000","30,946","44,399",23.49,"492,707",14.56,23.07,
107,CJ대한통운,"133,000","1,500",+1.14%,"5,000","30,340","22,812",20.71,"57,022",103.02,3.89,
108,한미사이언스,"44,100",850,-1.89%,500,"30,263","68,624",2.52,"98,358",55.89,3.47,
109,KCC,"330,000","2,000",-0.60%,"5,000","29,325","8,886",10.76,"48,530",4.17,12.79,
110,대우건설,"6,950",170,+2.51%,"5,000","28,886","415,623",10.66,"5,916,279",5.90,11.06,
111,대우조선해양,"26,850",800,+3.07%,"5,000","28,808","107,291",4.72,"1,118,903",-1.95,2.27,
112,한화에어로스페이스,"56,000","2,100",+3.90%,"5,000","28,353","50,630",19.04,"1,242,008",10.17,4.78,
113,GS리테일,"26,850",350,-1.29%,"1,000","28,117","104,718",8.07,"245,365",2.71,7.50,
114,BGF리테일,"162,000","3,500",-2.11%,"1,000","28,000","17,284",31.66,"22,173",20.27,18.60,
115,에스원,"72,500",0,0.00%,500,"27,549","37,999",53.17,"27,989",18.12,10.48,
116,씨에스윈드,"65,100","2,100",+3.33%,500,"27,454","42,171",11.12,"1,017,116",59.07,8.19,
117,키움증권,"103,000","1,500",-1.44%,"5,000","27,006","26,220",25.66,"49,717",2.96,27.63,
118,동서,"27,050",250,-0.92%,500,"26,969","99,700",2.82,"56,167",25.40,8.61,
119,제일기획,"23,400",700,+3.08%,200,"26,920","115,041",31.49,"457,506",13.79,16.11,
120,포스코인터내셔널,"21,600",150,+0.70%,"5,000","26,649","123,375",7.00,"708,776",8.73,7.69,
121,OCI,"110,500",500,+0.45%,"5,000","26,354","23,849",15.05,"246,324",13.18,-9.89,
122,신세계,"264,500",500,+0.19%,"5,000","26,040","9,845",25.21,"33,743",9.94,-2.81,
